"Geneid","log2FC_T20","padj_T20","log2FC_T26","padj_T26"
"Cvel_15350",-10.5534102471988,1.70548517375254e-13,-11.2863387261876,3.10237896500978e-18
"Cvel_8798",-11.2751705142807,1.7357331390886e-17,-10.3202562014507,9.19422947821825e-16
"Cvel_25587",-11.0607056210596,1.7312652126909e-17,-11.2728385635183,7.91651882358089e-19
"Cvel_14088",-6.66066909511856,8.2788895346109e-78,-11.2594906266317,1.29081399838224e-45
"Cvel_8311",-9.73146821867993,4.41762075126331e-12,-11.2578757897552,2.66938331607343e-19
"Cvel_25224",-7.33694957648689,1.36363722407127e-29,-11.2478896562461,2.07116176549779e-19
"Cvel_23541",-9.54238995007423,4.43312659198872e-108,-11.2421039692805,1.98771754862893e-45
"Cvel_26438",-11.2345267386628,4.46194563728232e-18,-10.9751987882583,3.01373811009691e-18
"Cvel_3811",-11.2278592412481,2.83007369801377e-18,-11.2224062133969,7.62155587526685e-19
"Cvel_17738",-10.7676279407518,1.51778374685866e-16,-11.2157749092302,3.40528329453587e-19
"Cvel_26631",-11.2093794509718,5.75567385017071e-18,-9.35142490778392,1.70524604070513e-11
"Cvel_24300",-8.55479590592979,1.60374549437956e-11,-11.1855623588091,2.09755150304051e-17
"Cvel_19524",-11.1836046516856,2.89949434840294e-18,-8.80336063312818,3.0522165661059e-26
"Cvel_14856",-11.1730524580364,6.98680999139913e-18,-9.51038428426207,4.9246025790015e-12
"Cvel_32969",-10.5106110113577,4.42579427738891e-15,-11.1669372655494,1.36235011430156e-18
"Cvel_13306",-10.6040543650982,4.8622179854836e-13,-11.1611745308183,6.27927166856246e-17
"Cvel_19526",-9.83384705039763,3.13721721061072e-35,-11.1591945656066,1.30483215694126e-24
"Cvel_16683",-6.95927667340192,1.14910796016995e-11,-11.1475689122542,3.90445775820318e-18
"Cvel_13305",-11.1253217893562,5.87774624052525e-15,-7.7843700979671,1.88767749727522e-23
"Cvel_8684",-10.4780073104553,1.29294375299902e-105,-11.1180293555095,1.2188921325844e-83
"Cvel_910",-11.1158515135354,2.78033696942361e-17,-4.86391809532095,0.00542840896664702
"Cvel_3434",-9.07504057555168,1.56551097697434e-54,-11.1101770225421,6.74917497493828e-25
"Cvel_29913",-8.00164871666671,2.63482215636996e-12,-11.0865300254275,1.72593205043461e-16
"Cvel_28052",-9.1691565016714,1.07315976964785e-15,-11.0848244896613,2.51310819071683e-18
"Cvel_8667",-9.87815451490452,2.22814794817838e-12,-11.0803523064602,6.4046379217503e-18
"Cvel_20688",-11.0451290881008,1.19245729680023e-17,-10.3492011243188,8.65873953340506e-16
"Cvel_23587",-11.0382154821511,2.84241453980113e-16,-8.74336835750114,2.86865618123245e-10
"Cvel_2567",-11.0230868371298,2.53556155656955e-17,-7.42828220851272,4.77774622384336e-30
"Cvel_17737",-10.6230758048911,6.8237851414135e-16,-11.0025066682183,3.42864575146867e-18
"Cvel_21123",-9.90522958981158,1.75177272904812e-12,-11.0008648948149,1.99944998810484e-18
"Cvel_27181",-10.9070697691739,2.90407614311185e-16,-10.9958262677018,2.04612508353552e-18
"Cvel_5737",-9.77936209388029,7.74371265114372e-14,-10.9920041561221,5.18433442088692e-18
"Cvel_20997",-10.9843433651444,1.17539374916346e-30,-10.3937028825298,1.14763089006161e-47
"Cvel_18986",-10.9830094834734,7.1947693753864e-17,-9.67566258658934,6.20499916130304e-32
"Cvel_17466",-10.9611604455016,5.52852375788531e-24,-10.2666836862486,2.81959690084319e-40
"Cvel_9492",-10.6218264923453,1.04309696989597e-15,-10.9507775533989,3.28720110170163e-18
"Cvel_12834",-6.3404749123391,7.36179799131295e-14,-10.9481877617084,9.30255936097938e-18
"Cvel_3812",-10.9354622511343,2.99392114352573e-17,-8.9229013707862,1.62054619792408e-15
"Cvel_18187",-10.9301415985034,5.83486035424605e-16,-4.46551838816958,1.94355343547914e-12
"Cvel_36219",-10.9115688770334,1.5934585854904e-22,-9.98628407533201,1.39909325525335e-36
"Cvel_25403",-10.8894887402327,2.1091005438588e-14,-10.2300896451696,2.89397992157375e-15
"Cvel_16902",-10.8878266871104,7.84284395095502e-17,-9.61686998845352,3.01333728258269e-13
"Cvel_1529",-9.90186639524756,4.61926461046539e-13,-10.8776486199337,2.3476034789858e-17
"Cvel_9245",-8.52084252159579,1.02911074330453e-12,-10.8755969655417,1.49726931388184e-17
"Cvel_8947",-10.8672784643398,6.15419832246138e-45,-9.38142984056591,1.71171871356973e-75
"Cvel_19333",-10.8671045680878,7.19653887432477e-16,-10.395334632714,2.59094526905307e-16
"Cvel_10028",-10.7319676701012,2.01227237545407e-16,-10.8650986265845,5.89355213662212e-18
"Cvel_27574",-10.8584631956344,4.01321125724821e-41,-9.81770829546534,8.28691062613788e-18
"Cvel_1557",-5.41977332557438,3.56210758482376e-10,-10.8492987291405,1.47631517284727e-17
"Cvel_27451",-10.8463004919029,3.20304419737629e-16,-9.91361610330313,1.69469663162471e-14
"Cvel_28394",-10.5095499950918,1.52071991775768e-15,-10.8430443750432,1.11826727884964e-17
"Cvel_23118",-10.8229807586903,2.13465754314199e-15,-10.8337184196178,7.008725954714e-15
"Cvel_12381",-10.8296382241996,2.26526562948425e-16,-7.440785820928,2.59621450653255e-23
"Cvel_3927",-9.66396915462936,3.8114748173457e-12,-10.7951724614557,7.22509654532108e-17
"Cvel_35654",-10.7947853884126,5.99699369932174e-16,-10.7855912604256,6.91999537987116e-17
"Cvel_8198",-10.7771575430488,3.22158732135889e-16,-9.8614492742104,2.68527022872423e-14
"Cvel_12857",-10.7652998974837,1.99992909126354e-16,-9.51910671929418,1.8454724706878e-17
"Cvel_24813",-10.765168828955,8.30928992805706e-81,-9.77594763943371,1.55811106650365e-77
"Cvel_24670",-9.90237761026743,1.82000574247021e-130,-10.7587840173782,6.17806342417352e-84
"Cvel_17485",-10.7583051078146,4.1657496822996e-16,-9.09510042444419,1.29772116722995e-11
"Cvel_10899",-10.7558109945713,6.93362520507675e-15,-7.83628862496316,1.15934394107472e-09
"Cvel_8666",-7.73068895202782,2.63531489183667e-09,-10.7530134587108,3.47866663015411e-17
"Cvel_30751",-7.63850379579504,1.84458644808504e-24,-10.7418326446225,1.22729569690976e-17
"Cvel_5548",-9.29016452057996,3.41477793640056e-12,-10.7403691305213,1.72876195643422e-17
"Cvel_33784",-7.62115121719972,4.96859164554485e-79,-10.7145597213602,3.20757710145679e-62
"Cvel_13155",-8.93038211490657,1.60070274058867e-10,-10.7124240073193,1.02442903604197e-16
"Cvel_3810",-10.6852907948306,3.85912866512545e-16,-10.7112460357298,7.27319690169277e-17
"Cvel_22545",-10.6749155918333,6.9286122766112e-22,-9.01040717602712,6.31609137276218e-28
"Cvel_27340",-10.6532530750839,6.25586400797893e-16,-8.39969532975165,1.38221289040972e-22
"Cvel_15150",-10.6485551375413,3.19985169227486e-14,-8.4093329803835,3.08892211885406e-22
"Cvel_26499",-9.52074227953675,1.2547710902025e-105,-10.6251254715164,6.96793956721538e-67
"Cvel_22916",-8.64565302023792,9.23089507120187e-15,-10.6242378473455,1.07843431931346e-15
"Cvel_15323",-7.91915071723011,2.95160613217109e-14,-10.5958452439328,2.05580293640962e-14
"Cvel_4728",-9.27530332838094,2.06761027727667e-09,-10.5842492260285,1.460294584134e-16
"Cvel_5133",-9.23581108090117,1.1674354942628e-15,-10.5790840162862,1.96953964044397e-16
"Cvel_29724",-10.2211879128463,2.04104442320458e-14,-10.5720738525399,2.20928307795417e-16
"Cvel_21074",-10.5707877291266,5.19775514561163e-15,-7.62184647159438,3.22439186783977e-19
